source,source_id,label,recommended_by,document_has_other_authors,recommendation,government_words,response_classification,committee,department,document_title,tabled,chamber,url,collection,why
report,4357,1,,yes,"The committee recommends that the Australian Government establish a digital platforms coordination body. 23 Digital Rights Watch, Submission 68, p. 40. Competition 10.34 Chapters 3 and 4 considered issues that have arisen due to the concentrated market power of Big Tech. The committee heard evidence that the dominant market power of Big Tech has allowed these firms to engage in anticompetitive behaviours and exploit power imbalances to the detriment of small businesses and consumers. 10.35 A range of submitters told the committee that the market power of Big Tech allows these firms to engage in anticompetitive tying and self-preferencing. These practices make it difficult for other companies, particularly small businesses, to compete, resulting in reduced competition, less choice for consumers and increased prices. 10.36 The committee has heard that Big Tech platforms may impede consumers from switching products or services through tying practices that lock consumers in to one provider. 10.37 Submissions raised concerns that app store providers tie the use of app store services to the use of their in-app payment (IAP) services. App stores take up to a 30 per cent commission on every IAP and restrict app-developers from providing their own IAP mechanisms. 10.38 The committee is concerned that the tying of IAPs creates a barrier to entry for competitors and limits the choices available to consumers. Further, the committee believes there is a lack of transparency in how commissi",,awaiting a response,Economics References,,Influence of international digital platforms,2023-11-30,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/4357,,text not in source
report,8604,40,,yes,"That financial institutions that provide mortgages implement the standard practice of offering multiple offset accounts for joint mortgages. 4.80 The DDOs were introduced to provide protections and help consumers obtain appropriate financial products, and the committee has heard strong concerns that the risk of misuse of financial products in relation to financial abuse is not included in the DDO guidance. The committee supports the expansion of DDOs to consider customers impacted by family and domestic violence and financial abuse and the potential for perpetrators to cause harm by misusing products and services",,awaiting a response,Corporations and Financial Services– Joint Statutory,,Financial abuse: an insidious form of domestic violence,2024-12-05,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/8604,,text not in source
report,14161,3,Dissenting Report from Coalition Senators,yes,"The Bill should be discharged from the Notice Paper. 6 Office of the Australian Information Commissioner (OAIC), Annual Report 2023-24, p. 138. Senator Jacqui Lambie",,awaiting a response,Legal and Constitutional Affairs Legislation,,Freedom of Information Amendment Bill 2025 [Provisions],2025-12-03,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/14161,,text not in source
report,15723,3,,,"The Committee supports the Council of Europe Convention on the Manipulation of Sports Competitions and recommends that binding treaty action be taken. 1. Introduction 1.1 The Joint Standing Committee on Treaties (JSCOT) was appointed by the Commonwealth Parliament to inquire into any treaty to which Australia has become a signatory, upon the treaty being tabled in the Parliament or as referred by a Minister.1 1.2 The Committee’s resolution of appointment empowers it to inquire into and report on: a. matters arising from treaties and related National Interest Analyses and proposed treaty actions and related Explanatory Statements presented or deemed to be presented to the Parliament; b. any question relating to a treaty or other international instrument, whether or not negotiated to completion, referred to the committee by: i. either House of the Parliament; or ii. a Minister; and c. such other matters as may be referred to the committee by the Minister for Foreign Affairs and on such conditions as the Minister may prescribe. 1.3 Prior to tabling, major treaty actions are subject to a National Interest Analysis (NIA), prepared by the Australian Government. The NIA considers the treaty, outlines the treaty obligations and any regulatory or financial implications, and reports the results of consultations undertaken with state and territory governments, federal, state and territory agencies, and with industry or non-government organisations. 1.4 The Committee takes account of the",,awaiting a response,"Treaties (Joint, Standing)",,Report 231: - Pacific Resilience and Sport Manipulation Treaties,2026-03-26,house,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15723,,text not in source
report,17091,34,,,"The Committee recommends that the Australian Government invest in Asia capability education for Australian businesses. Foreword Australia faces its most challenging strategic environment since the Second World War. Our security and prosperity are intertwined with our region. China is seeking to reshape the regional balance of power. The United States is pursuing a very different role in the world. Our neighbours in Southeast Asia are seeking new partners to protect their sovereignty and agency. Australia must make its own way in an increasingly complex and consequential region. To succeed in this new world, Australia’s leaders and institutions need a deeper understanding of our region's languages, cultures, histories, societies and economies. Asia capability is now a vital sovereign capability. You would not know this to look at our schools, our universities or our businesses. While Australian statecraft in Asia has never been more active than it is today, the pipeline building the capability that enables it is in crisis. Australia's Asia capability has not been a whole of government priority for more than a decade. The Commonwealth currently sets no objectives, collects little data and does not seek to coordinate efforts across the Australian education system to build Australia's Asia capability. The Department of Education told this inquiry that it is ‘agnostic’ as to whether Australian students study Asian languages. As a result, the institutions that build Australia's Asi",,awaiting a response,"Education (House, Standing)",,Building Asia capability in Australia through the education system and beyond,2026-06-29,house,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/17091,,text not in source
report,m-2022-03-30-inquiry-into-pfas-remediation-in-and-aro,3,,,The Committee recommends the Australian Government work with the NSW Government to re-establish the community reference group process. 98 INQUIRY INTO PFAS REMEDIATION IN AND AROUND DEFENCE BASES,,awaiting a response,"Foreign Affairs, Defence and Trade— Joint Standing",,Inquiry into PFAS remediation in and around Defence bases—Final report,2022-03-30,senate,,collected by hand,text not in source
