commission_id,name,short_names,notes
robodebt,Royal Commission into the Robodebt Scheme,Robodebt Royal Commission|Robodebt Scheme,Report tabled 7 July 2023; a closed chapter was tabled separately on 12 March 2026
disability,"Royal Commission into Violence, Abuse, Neglect and Exploitation of People with Disability",Disability Royal Commission,"Final report tabled as thirteen records, none of whose titles name the commission"
defence-veteran-suicide,Royal Commission into Defence and Veteran Suicide,Defence and Veteran Suicide,Interim report 2022 and final report 2024; each answered separately
antisemitism-social-cohesion,Royal Commission on Antisemitism and Social Cohesion,Antisemitism and Social Cohesion,Interim report tabled 30 April 2026; the commission has not reported finally
