id,tabled,notes_sentences,labels,labels_contiguous,counted,recommendations_counted,excluded_because,title,url
15552,2026-03-19,0,0,no,no,0,no recommendation labels in the text,Government response to the Criminal Code Amendment (Animal Protection) Bill 2015,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15552
15553,2026-03-19,0,0,no,no,0,no recommendation labels in the text,Government response to the Examination of the Annual Report of the Integrity Commissioner 2020-21,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15553
15562,2026-03-19,0,0,no,no,0,no recommendation labels in the text,Government Response to the National Integrity (Parliamentary Standards) Bill 2019,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15562
15563,2026-03-19,0,0,no,no,0,no recommendation labels in the text,"Joint Standing Committee on Foreign Affairs, Defence and Trade’s Second Interim Report: freedom of religion and belief, the Australian experience",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15563
15564,2026-03-19,0,0,no,no,0,no recommendation labels in the text,Rights’ Inquiry report: Religious Discrimination Bill 2021 and related bills,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15564
15565,2026-03-19,0,0,no,no,0,no recommendation labels in the text,Government response to Sex Discrimination Amendment (Removing Discrimination Against Students) Bill 2018,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15565
15566,2026-03-19,0,0,no,no,0,no recommendation labels in the text,"Government response to Religious Discrimination Bill 2021 [Provisions], Religious Discrimination (Consequential Amendments) Bill 2021 [Provisions] and Human Rights Legislation Amendment Bill 2021 [Provisions]",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15566
15567,2026-03-19,0,0,no,no,0,no recommendation labels in the text,Government response to the Social Media (Anti-Trolling) Bill 2022 [Provisions],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15567
15568,2026-03-19,0,0,no,no,0,no recommendation labels in the text,Government response to Nature and scope of any agreement reached by the Commonwealth and Western Australia,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15568
15569,2026-03-19,0,0,no,no,0,no recommendation labels in the text,"Government response to Legislative exemptions that allow faith-based educational institutions to discriminate against students, teachers and staff",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15569
15894,2026-04-01,3,0,no,no,0,no recommendation labels in the text,"Australian Government response to the Legal and Constitutional Affairs References Committee report on Allegations concerning the inappropriate exercise of ministerial powers, with respect to the visa status of au pairs, and related matters",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15894
15895,2026-04-01,18,0,no,no,0,no recommendation labels in the text,Australian Government response to the report of the Senate Select Committee for an Inquiry into A Certain Maritime Incident,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15895
15896,2026-04-01,15,0,no,no,0,no recommendation labels in the text,"Australian Government response to the Senate Foreign Affairs, Defence and Trade Ref-erences Committee Report on the implications for climate change for Australia’s national security",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15896
15897,2026-04-01,18,0,no,no,0,no recommendation labels in the text,"Australian Government response to the Senate Foreign Affairs, Defence and Trade References Committee Report on the United Nations Sustainable Development Goals (SDGs)",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15897
15900,2026-04-01,0,0,no,no,0,no recommendation labels in the text,Australian Government response to the Parliamentary Joint Committee on Human Rights’ eleventh report of 2013 on the Stronger Futures in the Northern Territory Act 2012 and related legislation,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15900
15905,2026-04-01,1,0,no,no,0,no recommendation labels in the text,Australian Government response to the Senate Legal and Constitutional Affairs Legislation Committee report on the Immigration (Education) Amendment (Expanding Access to English Tuition) Bill 2020 [Provisions],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15905
15908,2026-04-01,1,0,no,no,0,no recommendation labels in the text,Australian Government response to the Senate Legal and Constitutional Affairs Administration Legislation Committee report on the Freedom of Speech Legislation Amendment (Censorship) Bill 2018 and related bills,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15908
15909,2026-04-01,1,0,no,no,0,no recommendation labels in the text,Australian Government response to the Parliamentary Joint Committee on Human Rights 2016 review of Stronger Futures Measures report,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15909
16030,2026-04-23,1,1,yes,no,0,"a single label, which a table layout can fake",Australian Government response to the Parliamentary Standing Committee on Public Works report: Inquiry into the Home Affairs 101 George Street Parramatta Fit-Out Report 5/2021,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/16030
16067,2026-04-30,0,0,no,no,0,no recommendation labels in the text,Government response to the report on the Indefinite detention of people with cognitive and psychiatric impairment in Australia,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/16067
16068,2026-04-30,0,0,no,no,0,no recommendation labels in the text,Government response to the former Joint Select Committee on Constitutional Recognition of Aboriginal and Torres Strait Islander Peoples’ Progress Report and Final Report,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/16068
16245,2026-05-12,1,1,no,no,0,labels do not run without gaps,Australian Government response to the Parliamentary Standing Committee on Public Works report: Report 6/2021,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/16245
16382,2026-05-14,1,23,no,no,0,labels do not run without gaps,"Australian Government response to the Parliamentary Joint Standing Committee on Foreign Affairs, Defence and Trade first report on the Inquiry into Australia's aid program in the Indo-Pacific",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/16382
16383,2026-05-14,1,8,yes,no,0,1 notes sentences against 8 labels,"Australian Government response to the Senate References Committee on Foreign Affairs, Defence and Trade interim and final reports: Australia’s engagement in Afghanistan",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/16383
16480,2026-05-21,0,0,no,no,0,no recommendation labels in the text,Government response to the Parliamentary Joint Committee on Law Enforcement’s report on An Australian standard for the training and use of privately contracted security and detection dogs,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/16480
16500,2026-05-21,1,1,yes,no,0,"a single label, which a table layout can fake",Australian Government Response to the report of the Parliamentary Joint Committee on Law Enforcement Inquiry on Criminal Code Amendment (sharing of abhorrent violent material) Act 2019,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/16500
16501,2026-05-21,9,9,yes,yes,9,,Government Response to the Senate Select Committee on Administration of Sports Grants,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/16501
16549,2026-06-22,1,1,no,no,0,labels do not run without gaps,Australian Government response to the Joint Committee of Public Accounts and Audit report Report 477: Commonwealth Financial Statements - Second Report,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/16549
16922,2026-06-23,0,0,no,no,0,no recommendation labels in the text,"Australian Government response to the Joint Standing Committee on Foreign Affairs Defence and Trade report: Inquiry into the implications of the COVID-19 pandemic for Australia’s foreign affairs, defence and trade",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/16922
17018,2026-06-25,0,0,no,no,0,no recommendation labels in the text,Australian Government Response to the Senate Environment and Communications Legislation Committee report into the Treasury Laws Amendment (2021 Measures No. 5) Bill 2021,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/17018
17022,2026-06-25,1,1,no,no,0,labels do not run without gaps,"Australian Government Response to the Joint Committee of Public Accounts and Audit Report 486: Regulatory Activities - Inquiry into Auditor-General's Reports 33, 47 and 48 (2019-20) and 5 and 8 (2020-21) - Recommendation 7",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/17022
