commission_id,role,carries_recommendations,answers,id,type,additional_type,category,title,author,department,tabled_senate,tabled_house,parliament,files,url,note
disability,corrigendum,,,4072,Royal commission,Corrigendum,Government Document,"Royal Commission into Violence, Abuse, Neglect and Exploitation of People with Disability [Final report - Corrigendum]",,,2023-11-02,2023-11-16,47,6170|Corrigendum to the Final report of the Disability Royal Commission.pdf,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/4072,
disability,response,,3444,6874,Government response,,Government Document,Australian Government Response to the Disability Royal Commission,Department of Social Services,Department of Social Services,2024-07-31,2024-08-12,47,10988|AustralianGovernmentResponsetoDRC_July2024_3380.07.pdf; 10989|EasyReadSummary_AusGovResponsetoDRC_July2024_3386.07.24.pdf,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/6874,
disability,statement,,,6982,Ministerial statement,,Government Document,"Ministerial Statement on the Australian Government Response to the Final Report of the Royal Commission into Violence, Abuse, Neglect and Exploitation of People with Disability",,,2024-08-12,2024-08-12,47,11216|min statement.pdf,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/6982,Ministerial statement on the response
defence-veteran-suicide,report,yes,,143,Royal commission,Interim,Government Document,Royal Commission into Defence and Veteran Suicide Interim Report,,Attorney-General's Department,2022-08-11,2022-09-06,47,250|Interim Report of the Defence and Veteran Suicide Royal Commission.pdf,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/143,"Interim report; 13 recommendations, answered by OTD 349"
defence-veteran-suicide,report,,,6405,Royal commission,,Government Document,"Royal Commission into Defence and Veteran Suicide - Shining a Light – Stories of Trauma and Tragedy, Hope and Healing",,,2024-06-20,2024-06-24,47,10930|DVSRC_Shining a Light_FINAL_accessible_update 08072024.pdf,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/6405,"Shining a Light; a volume of accounts, no numbered recommendations"
defence-veteran-suicide,report,11763,,7262,Royal commission,,Government Document,Royal Commission into Defence and Veteran Suicide | Final report,Royal Commission into Defence and Veteran Suicide,Attorney-General’s portfolio,2024-09-09,2024-09-09,47,11763|Royal Commission into Defence and Veteran Suicide – Volume 1 [Accessible].pdf; 11764|Royal Commission into Defence and Veteran Suicide – Volume 2 [Accessible].pdf; 11765|Royal Commission into Defence and Veteran Suicide – Volume 3 [Accessible1.pdf; 11766|Royal Commission into Defence and Veteran Suicide – Volume 4 [Accessible].pdf; 11767|Royal Commission into Defence and Veteran Suicide – Volume 5 [Accessible].pdf; 11768|Royal Commission into Defence and Veteran Suicide – Volume 6 [Accessible].pdf; 11769|Royal Commission into Defence and Veteran Suicide – Volume 7 [Accessible].pdf,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/7262,"Final report; seven volumes on one record, volume 1 (file 11763) sets out all 122 recommendations, answered by OTD 8578"
defence-veteran-suicide,response,,143,349,Government response,,Government Document,"Australian Government response to the interim report of the Royal Commission into Defence and Veteran Suicide, September 2022",,,2022-09-26,2022-09-26,47,532|P04488-royal-commission-interim-response.pdf,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/349,Response to the interim report
defence-veteran-suicide,statement,,,348,Ministerial statement,,Government Document,"Government response to Royal Commission into Defence and Veteran Suicide interim report, dated 26 September 2022",,,2022-09-26,,47,526|Min statement RC DVS.pdf,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/348,Ministerial statement on the interim response
defence-veteran-suicide,response,,7262,8578,Other,,Government Document,Government Response to the Final report of the Royal Commission Inquiry into Defence and Veteran Suicide,Department of Defence,Department of Defence,2024-12-02,2025-02-04,47,14547|Australian Government Response to the Final Report of the Royal commission.pdf,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/8578,Response to the final report; typed Other in the register
antisemitism-social-cohesion,report,,,16086,Royal commission,,Government Document,Interim Report of the Royal Commission on Antisemitism and Social Cohesion,Attorney-General's Department,Attorney-General's Department,2026-04-30,2026-05-12,48,28741|Interim Report of the Royal Commission on Antisemitism and Social Cohesion.pdf,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/16086,"Interim report; 5 of its 14 recommendations are in a confidential report and neither their text nor a position on them is public, which this index has no way to say — not read until it does"
antisemitism-social-cohesion,response,,,16392,Other,,Government Document,Australian Government Response to the Interim Report of the Royal Commission on Antisemitism and Social Cohesion,Department of Home Affairs,Department of Home Affairs,2026-06-22,2026-05-14,48,29310|Australian Government Response to the Interim Report of the Royal Commission on Antisemitism and Social Cohesion.pdf,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/16392,Response to the interim report; typed Other in the register. Not read while the report it answers is not read
