candidate_id,jurisdiction,title,year_start,year_end,year_text,inquiry_family,discovery_source,candidate_page,verification_status,recommendation_tracking_status,notes
rc-candidate-0029,Commonwealth,Royal Commission to inquire into and report upon certain charges against the Administrator and other officers of the Northern Territory Administration (1916),1916,1916,1916,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0030,Commonwealth,Royal Commission on Federal Capital Administration (1916–1917),1916,1917,1916–1917,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0031,Commonwealth,"Royal Commission on Java and the East Indies, Singapore and the Straits Settlements (1917–1918)",1917,1918,1917–1918,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0032,Commonwealth,Royal Commission on Navy and Defence Administration (1917–1919),1917,1919,1917–1919,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0033,Commonwealth,Royal Commission on the war—Australian Imperial Force. Report as to number of members fit for active service and number of reinforcements and enlistments required (1918),1918,1918,1918,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0034,Commonwealth,"Royal Commission on Public Service administration, Commonwealth of Australia (1918–1920)",1918,1920,1918–1920,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0035,Commonwealth,Royal Commission upon the public expenditure of the Commonwealth of Australia with a view to effecting economies (1918–1921),1918,1921,1918–1921,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0036,Commonwealth,Royal Commission on taxation of leasehold estates in Crown lands (1918–1919),1918,1919,1918–1919,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0037,Commonwealth,Royal Commission on the sugar industry (1919–1920),1919,1920,1919–1920,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0038,Commonwealth,Royal Commission on industrial troubles on Melbourne wharfs (1919–1920),1919,1920,1919–1920,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0039,Commonwealth,Royal Commission on late German New Guinea (1919–1920),1919,1920,1919–1920,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0040,Commonwealth,"Royal Commission to inquire into complaints by the munition worker passengers to Australia by the transport ""Bahia Castillo"" (1919)",1919,1919,1919,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0041,Commonwealth,Royal Commission on Northern Territory Administration (1919–1920),1919,1920,1919–1920,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0042,Commonwealth,Royal Commission on the basic wage (1919–1920),1919,1920,1919–1920,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0043,Commonwealth,Royal Commission on taxation (1920–1923),1920,1923,1920–1923,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0044,Commonwealth,Royal Commission on the increase of the selling price of coal (1920),1920,1920,1920,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0045,Commonwealth,,,,,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0046,Commonwealth,Royal Commission on the matter of uniform railway gauge (1921),1921,1921,1921,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,https://en.wikipedia.org/wiki/Royal_Commission_on_the_matter_of_uniform_railway_gauge,candidate_unverified,not_assessed,
rc-candidate-0047,Commonwealth,Royal Commission on pillaging of ships' cargoes (1921),1921,1921,1921,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0048,Commonwealth,Royal Commission on Cockatoo Island Dockyard (1921),1921,1921,1921,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0049,Commonwealth,Royal Commission upon the loyalty to the British Crown of German Nationals resident in Australia whose property is liable to a charge created by the Treaty of Peace Regulations made under the Treaty of Peace (Germany) Act 1919–1920 (1921),1919,1921,1919–1920 1921,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0050,Commonwealth,"Royal Commission on the circumstances attending the supposed loss at sea of the steamship ""Sumatra"" (1923)",1923,1923,1923,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0051,Commonwealth,"Royal Commission in connection with sugar purchases by the Commonwealth through Mr. W. E. Davies in September and October, 1920 (1923–1924)",1920,1924,1920 1923–1924,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0052,Commonwealth,"Royal Commission in connection with joinery supplied to the War Service Homes Commissioner in March, 1920 (1923–1924)",1920,1924,1920 1923–1924,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0053,Commonwealth,Royal Commission on the Navigation Act (1923–1925),1923,1925,1923–1925,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0054,Commonwealth,Royal Commission on national insurance (1923–1927),1923,1927,1923–1927,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,https://en.wikipedia.org/wiki/Royal_Commission_on_national_insurance,candidate_unverified,not_assessed,
rc-candidate-0055,Commonwealth,Royal Commission on the method for determining the unimproved value of land held under Crown leases (1924–1925),1924,1925,1924–1925,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0056,Commonwealth,Royal Commission on the assessment of war service disabilities (1924–1925),1924,1925,1924–1925,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0057,Commonwealth,"Royal Commission to inquire into extracts from the reports in Parliamentary Debates of speeches made by Mr. Scullin in the House of Representatives on 7 and 19 August 1924, in relation to land tax matters (1924–1925)",1924,1925,1924 1924–1925,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0058,Commonwealth,"Royal Commission on the finances of Western Australia, as affected by Federation (1924–1925)",1924,1925,1924–1925,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0059,Commonwealth,Royal Commission on health (1925–1926),1925,1926,1925–1926,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0060,Commonwealth,Royal Commission on Norfolk Island affairs (1926),1926,1926,1926,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0061,Commonwealth,Royal Commission on certain matters in connexion with the British Phosphate Commission (1926),1926,1926,1926,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0062,Commonwealth,Royal Commission on wireless (1927),1927,1927,1927,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0063,Commonwealth,Royal Commission on the Edie Creek (New Guinea) leases (1927),1927,1927,1927,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0064,Commonwealth,Royal Commission on the Moving Picture Industry in Australia (1927–1928),1927,1928,1927–1928,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,https://en.wikipedia.org/wiki/Royal_Commission_on_the_Moving_Picture_Industry_in_Australia,candidate_unverified,not_assessed,
rc-candidate-0065,Commonwealth,Royal Commission on the Constitution (1927–1929),1927,1929,1927–1929,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0066,Commonwealth,Royal Commission on child endowment or family allowances (1927–1929),1927,1929,1927–1929,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0067,Commonwealth,Royal Commission of inquiry into fatalities at Bundaberg (1928),1928,1928,1928,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,https://en.wikipedia.org/wiki/Bundaberg_tragedy,candidate_unverified,not_assessed,
rc-candidate-0068,Commonwealth,Royal Commission appointed to inquire into statements in the press in regard to offers alleged to have been made to members to resign seats in the Federal Parliament (1928),1928,1928,1928,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0069,Commonwealth,"Royal Commission on the finances of South Australia, as affected by Federation (1928–1929)",1928,1929,1928–1929,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0070,Commonwealth,Royal Commission on the coal industry (1929),1929,1929,1929,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0071,Commonwealth,Royal Commission appointed to inquire into allegations affecting members of the Parliamentary Joint Committee of Public Accounts in connexion with claims made by broadcasting companies against the Commonwealth Government (1930),1930,1930,1930,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0072,Commonwealth,Royal Commission on Jacob Johnson (1931),1931,1931,1931,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0073,Commonwealth,Royal Commission on performing rights (1932–1933),1932,1933,1932–1933,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0074,Commonwealth,Royal Commission on taxation (1932–1934),1932,1934,1932–1934,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0075,Commonwealth,Royal Commission on mineral oils and petrol and other products of mineral oils (1933–1935),1933,1935,1933–1935,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0076,Commonwealth,"Royal Commission on the wheat, flour and bread industries (1934–1936)",1934,1936,1934–1936,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0077,Commonwealth,Royal Commission appointed to inquire into and report upon the circumstances associated with the retirement of Lieutenant-Commander Alan Dermot Casey from the Royal Australian Navy (1934),1934,1934,1934,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0078,Commonwealth,Royal Commission appointed to inquire into the monetary and banking systems at present in operation in Australia (1935–1937),1935,1937,1935–1937,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0079,Commonwealth,Royal Commission on doctors' remuneration for national insurance service and other contract practice (1938),1938,1938,1938,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0080,Commonwealth,"Royal Commission regarding the contract for the erection of additions to the General Post Office, Sydney (1939)",1939,1939,1939,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,"https://en.wikipedia.org/wiki/Royal_Commission_regarding_the_contract_for_the_erection_of_additions_to_the_General_Post_Office,_Sydney",candidate_unverified,not_assessed,
rc-candidate-0081,Commonwealth,"Royal Commission to inquire into and report upon the contract or contracts with Abbco Bread Co. Pty. Limited for the supply of bread to the Department of the Army, and other matters (1941)",1941,1941,1941,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0082,Commonwealth,"Royal Commission to inquire into circumstances under which certain public monies were used and to whom, and for what purposes such moneys were paid (1941)",1941,1941,1941,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,https://en.wikipedia.org/wiki/Winkler_case,candidate_unverified,not_assessed,
rc-candidate-0083,Commonwealth,"Royal Commission in the matter of an inquiry into a statement that there was a document missing from the official files in relation to ""The Brisbane Line"" (1943)",1943,1943,1943,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,https://en.wikipedia.org/wiki/Brisbane_Line,candidate_unverified,not_assessed,
rc-candidate-0084,Commonwealth,"Royal Commission to inquire into and report upon certain transactions of the Sydney Land Sales Control Office, and the Canberra Land Sales Control Office of the Treasury (1947)",1947,1947,1947,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0085,Commonwealth,Royal Commission appointed to inquire into certain transactions in relation to timber rights in the Territory of Papua-New Guinea (1949),1949,1949,1949,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0086,Commonwealth,Royal Commission on the Port Augusta to Alice Springs Railway (1951–1952),1951,1952,1951–1952,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0087,Commonwealth,Royal Commission on television (1953–1954),1953,1954,1953–1954,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0088,Commonwealth,Royal Commission on Espionage (1954–1955),1954,1955,1954–1955,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,https://en.wikipedia.org/wiki/Royal_Commission_on_Espionage,candidate_unverified,not_assessed,
rc-candidate-0089,Commonwealth,Royal Commission on alleged improper practices and improper refusal to co-operate with the Victoria Police Force on the part of persons employed in the Postmaster-General's Department in Victoria in relation to illegal gambling (1962–1963),1962,1963,1962–1963,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0090,Commonwealth,Royal Commission on loss of HMAS Voyager (1964),1964,1964,1964,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,https://en.wikipedia.org/wiki/Royal_Commission_on_loss_of_HMAS_Voyager,candidate_unverified,not_assessed,
rc-candidate-0091,Commonwealth,Royal Commission on the statement of Lieutenant Commander Cabban and matters incidental thereto (1967–1968),1967,1968,1967–1968,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,https://en.wikipedia.org/wiki/Royal_Commission_on_the_statement_of_Lieutenant_Commander_Cabban_and_matters_incidental_thereto,candidate_unverified,not_assessed,
rc-candidate-0092,Commonwealth,Royal Commission into Exploratory and Production Drilling for Petroleum in the Area of the Great Barrier Reef (1970–1974),1970,1974,1970–1974,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0093,Commonwealth,Aboriginal Land Rights Commission (1973–1974),1973,1974,1973–1974,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,https://en.wikipedia.org/wiki/Aboriginal_Land_Rights_Commission,candidate_unverified,not_assessed,
